City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Airai,TL,78.42,scattered clouds,-8.9266,125.4092,Juvinal Martin
338,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
339,Mabaruma,GY,73.72,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
344,Salinópolis,BR,80.19,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
346,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
347,Lodwar,KE,80.2,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
349,Iralaya,HN,80.49,scattered clouds,15.0,-83.2333,Iglesia morava renovada
351,Los Llanos de Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
352,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
353,São José da Coroa Grande,BR,75.99,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
354,Adelanto,US,80.85,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
356,Lahat,ID,83.52,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
360,Arlit,NE,81.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
361,Iguaí,BR,65.48,clear sky,-14.7564,-40.0892,CadHotel
362,Miran Shah,PK,76.6,clear sky,33.0086,70.0697,Bachelor Hostel
363,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
364,Kutiyāna,IN,79.11,overcast clouds,21.6233,69.9817,દેવંગી પાન
368,Marabu,MY,74.53,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
373,Koumac,NC,78.49,broken clouds,-20.5667,164.2833,Le Monitel
375,The Valley,AI,84.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
376,Kerman,IR,66.52,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
378,‘Āhuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
379,Acajutla,SV,79.66,broken clouds,13.5928,-89.8275,asi es
381,Buraidah,SA,76.28,clear sky,26.326,43.975,فندق راحة السلام
383,San Policarpo,PH,84.43,overcast clouds,12.1791,125.5072,Manong Aklan Resort
384,Makkah al Mukarramah,SA,84.56,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
386,Beyla,GN,67.41,light rain,8.6833,-8.6333,DIAN SINKO
387,Cedar City,US,65.37,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
388,Det Udom,TH,87.04,overcast clouds,14.906,105.0784,Chatsuda Resort
391,Gympie,AU,85.32,light rain,-26.1898,152.665,Mary River Motor Inn
393,Bambanglipuro,ID,81.7,broken clouds,-7.95,110.2833,Puri Brata
395,Hervey Bay,AU,84.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
398,Bāfq,IR,68.23,scattered clouds,31.6128,55.4107,Alamdar Hotel
402,Lafiagi,NG,74.84,scattered clouds,8.8667,5.4167,Bus group international
403,Najrān,SA,73.89,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
404,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
405,Nichinan,JP,80.76,clear sky,31.6,131.3667,Guest House Aki
406,Crotone,IT,68.67,overcast clouds,39.0851,17.1178,Helios Hotel
408,Santa Marta,CO,78.35,overcast clouds,11.2408,-74.199,Casa de Isabella
409,Poum,NC,75.56,clear sky,-20.2333,164.0167,Gîte kajeon
410,Acapulco de Juárez,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
411,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Posada Villaven C.A.
412,Balingasay,PH,83.52,scattered clouds,16.3573,119.8564,Rock Garden Resort
413,Guane,CU,77.77,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
414,Wiarton,CA,69.22,overcast clouds,44.7407,-81.1332,Waterview On The Bay
417,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
