City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Ocampo,MX,21.65,-101.5,59.02,84,100,7.16,overcast clouds
273,Kaitangata,NZ,-46.2817,169.8464,53.92,73,100,3.0,overcast clouds
274,Vardø,NO,70.3705,31.1107,48.34,84,100,26.02,overcast clouds
275,Payerne,CH,46.822,6.9361,58.69,85,75,2.3,broken clouds
276,Kirakira,SB,-10.4544,161.9205,82.54,79,39,4.65,scattered clouds
277,Flin Flon,CA,54.7682,-101.865,52.5,46,97,2.91,overcast clouds
278,Yamada,JP,39.4667,141.95,69.35,53,0,6.06,clear sky
279,Kurumkan,RU,54.3,110.3,41.56,59,35,1.7,scattered clouds
280,Zyryanka,RU,65.75,150.85,31.57,69,96,7.47,overcast clouds
281,Oussouye,SN,12.485,-16.5469,78.78,84,81,3.69,broken clouds
282,Grand Island,US,40.925,-98.342,60.3,81,1,3.44,clear sky
283,Spolaita,GR,38.6966,21.3464,62.06,64,1,4.45,clear sky
284,Fortuna,US,40.5982,-124.1573,57.9,69,1,9.22,clear sky
285,Alekseyevsk,RU,57.8406,108.3492,38.44,66,94,3.04,overcast clouds
286,Valentín Gómez Farías,MX,28.2167,-106.5833,64.92,60,79,2.06,broken clouds
287,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,73.71,98,83,1.07,broken clouds
288,Burē,ET,10.7,37.0667,53.73,94,26,3.78,scattered clouds
289,Kinwat,IN,19.6333,78.2,78.33,82,84,3.06,broken clouds
290,Teruel,ES,40.6667,-0.6667,58.96,69,98,14.99,overcast clouds
291,Kingman,US,35.1894,-114.053,80.08,13,1,0.0,clear sky
292,Olinda,BR,-8.0089,-34.8553,80.33,78,40,9.22,scattered clouds
293,Ilulissat,GL,69.2167,-51.1,26.62,54,20,6.91,few clouds
294,Āwash,ET,8.9833,40.1667,71.08,75,95,4.97,light rain
295,Hatillo,PR,18.4863,-66.8254,81.09,85,100,4.63,overcast clouds
296,Maragogi,BR,-9.0122,-35.2225,75.74,88,18,9.51,few clouds
297,Fécamp,FR,49.7579,0.3746,55.69,97,100,8.72,moderate rain
298,Port Lincoln,AU,-34.7333,135.8667,60.48,55,17,28.19,few clouds
299,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,few clouds
300,Dongkan,CN,33.9997,119.8308,80.31,63,23,15.23,few clouds
301,Khāsh,IR,28.2211,61.2158,63.57,29,44,6.08,scattered clouds
302,Novy Urengoy,RU,66.0833,76.6333,28.87,86,99,13.06,overcast clouds
303,Kathu,TH,7.9178,98.3332,85.69,89,84,4.12,broken clouds
304,Galeras,CO,9.161,-75.0481,76.64,91,97,6.33,overcast clouds
305,Saint-Augustin,CA,51.226,-58.6502,43.61,90,100,10.54,overcast clouds
306,Mīzan Teferī,ET,6.9833,35.5833,61.92,86,100,1.68,overcast clouds
307,Barraute,CA,48.4335,-77.6328,50.79,83,100,2.75,overcast clouds
308,Isangel,VU,-19.55,169.2667,78.91,89,75,11.5,broken clouds
309,Faanui,PF,-16.4833,-151.75,78.85,72,13,13.49,few clouds
310,São João da Barra,BR,-21.6403,-41.0511,74.01,92,83,5.41,broken clouds
311,Anadyr,RU,64.75,177.4833,32.0,92,93,11.01,overcast clouds
312,Kieta,PG,-6.2167,155.6333,84.04,72,100,5.17,light rain
313,Maraã,BR,-1.8333,-65.3667,74.05,97,65,4.14,broken clouds
314,Camargo,MX,27.6667,-105.1667,77.61,40,100,10.96,overcast clouds
315,Carahue,CL,-38.7,-73.1667,41.14,90,22,2.75,few clouds
316,Maxixe,MZ,-23.8597,35.3472,73.13,93,90,7.85,overcast clouds
317,Gambēla,ET,8.25,34.5833,68.49,95,93,2.01,light rain
318,Alakurtti,RU,66.9672,30.3491,39.63,96,100,5.37,overcast clouds
319,Vestmanna,FO,62.1564,-7.1664,47.32,93,75,17.27,broken clouds
320,Mareeba,AU,-17.0,145.4333,95.43,32,4,3.33,clear sky
321,Mount Gambier,AU,-37.8333,140.7667,60.71,88,90,13.8,overcast clouds
322,Ponta do Sol,PT,32.6667,-17.1,72.72,78,0,1.72,clear sky
323,Progreso,MX,21.2833,-89.6667,81.1,76,82,15.12,broken clouds
324,Avera,US,33.194,-82.5271,72.72,58,99,2.93,overcast clouds
325,Yinchuan,CN,38.4681,106.2731,68.47,17,94,10.74,overcast clouds
326,Xai-Xai,MZ,-25.0519,33.6442,71.17,91,100,1.92,overcast clouds
327,Gudāri,IN,19.35,83.7833,78.89,91,23,0.69,few clouds
328,Lipno,PL,52.8444,19.1785,49.08,66,90,10.98,overcast clouds
329,Dikson,RU,73.5069,80.5464,33.64,91,100,9.48,overcast clouds
330,Luz,BR,-19.8014,-45.6856,72.61,68,40,4.27,scattered clouds
331,Cruzeiro do Sul,BR,-29.5128,-51.9853,64.51,86,31,1.16,light rain
332,Biryusinsk,RU,55.9634,97.8235,40.03,69,100,6.91,overcast clouds
333,Namtsy,RU,62.7161,129.6658,32.11,65,10,1.14,clear sky
334,Chu,KZ,43.5983,73.7614,43.27,63,0,1.07,clear sky
335,Santa Isabel,BR,-23.3156,-46.2214,73.65,78,100,0.54,overcast clouds
336,Airai,TL,-8.9266,125.4092,78.42,42,33,3.56,scattered clouds
337,Santa Fe,AR,-31.6333,-60.7,62.74,72,97,8.01,overcast clouds
338,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,0.0,broken clouds
339,Mabaruma,GY,8.2,-59.7833,73.72,98,100,3.18,overcast clouds
340,Nemuro,JP,43.3236,145.575,60.62,63,0,14.16,clear sky
341,Petranka,UA,48.9025,24.3035,43.41,79,20,2.86,few clouds
342,Dunedin,NZ,-45.8742,170.5036,52.81,80,100,4.0,overcast clouds
343,Sitka,US,57.0531,-135.33,44.49,70,90,10.36,light rain
344,Salinópolis,BR,-0.6136,-47.3561,80.19,77,53,11.74,broken clouds
345,Lagos,NG,6.5833,3.75,75.63,94,96,3.38,light rain
346,Camacha,PT,33.0833,-16.3333,67.42,68,75,9.22,broken clouds
